Name,Team,FB%,Hard%
Trevor Richards,- - -,42.80%,41.80%
Luke Bard,LAA,43.30%,44.70%
Brendan McKay,TBR,43.00%,42.40%
Tommy Milone,SEA,44.80%,35.60%
Wilmer Font,- - -,45.20%,38.90%
Eric Skoglund,KCR,42.50%,49.40%
Jeff Hoffman,COL,43.40%,40.20%
Josh Staumont,KCR,41.90%,48.40%
Trent Thornton,TOR,40.30%,36.10%
Trevor May,MIN,42.00%,34.80%
Sergio Romo,- - -,45.00%,31.80%
Mike Dunn,COL,48.10%,33.30%
Aaron Slegers,TBR,45.50%,27.30%
Jordan Montgomery,NYY,35.70%,50.00%
Locke St. John,TEX,41.70%,20.80%
Art Warren,SEA,35.70%,35.70%
Daniel Hudson,- - -,46.70%,38.60%
Justin Verlander,HOU,45.20%,41.80%
Matthew Boyd,DET,44.90%,40.70%
Jose Quijada,MIA,42.00%,45.70%
Reynaldo Lopez,CHW,44.20%,35.10%
Jake Odorizzi,MIN,44.30%,42.30%
Brock Stewart,- - -,45.70%,36.20%
Manny Banuelos,CHW,42.20%,30.60%
Chase Anderson,MIL,44.70%,37.60%
Josh Tomlin,ATL,42.80%,35.90%
Nestor Cortes,NYY,43.70%,38.50%
Jake McGee,COL,45.70%,48.90%
David Robertson,PHI,42.90%,33.30%
Vince Velasquez,PHI,44.10%,47.40%
Jose Leclerc,TEX,45.00%,35.70%
J.B. Wendelken,OAK,47.60%,29.10%
Thomas Eshelman,BAL,40.80%,36.20%
Wei-Chung Wang,- - -,46.30%,35.40%
Chance Adams,NYY,39.80%,33.00%
Andrew Heaney,LAA,43.60%,47.60%
Jerad Eickhoff,PHI,46.20%,44.80%
Michael Feliz,PIT,44.80%,29.20%
Justin Shafer,TOR,42.20%,35.90%
Kenley Jansen,LAD,43.30%,38.70%
Dan Winkler,ATL,40.70%,39.00%
Hoby Milner,TBR,33.30%,16.70%
Brady Rodgers,HOU,44.40%,44.40%
Yency Almonte,COL,42.90%,42.50%
Cole Sulser,TBR,50.00%,35.30%
Adbert Alzolay,CHC,43.20%,35.10%
Michael King,NYY,50.00%,12.50%
Josh James,HOU,46.50%,40.20%
Drew Smyly,- - -,44.60%,45.40%
Jaime Barria,LAA,46.30%,42.10%
Ryan Helsley,STL,45.80%,39.40%
Freddy Peralta,MIL,43.70%,38.60%
Emilio Pagan,TBR,46.80%,37.20%
Pedro Baez,LAD,48.00%,37.80%
Thomas Pannone,TOR,45.80%,40.20%
Javy Guerra,- - -,46.90%,36.80%
Hunter Wood,- - -,45.00%,33.10%
David Hess,BAL,45.60%,43.80%
Jeff Brigham,MIA,46.20%,44.90%
Bryse Wilson,ATL,43.10%,40.30%
Giovanny Gallegos,STL,47.30%,36.50%
Grant Dayton,ATL,51.50%,39.40%
Chris Devenski,HOU,46.70%,43.10%
Gerardo Reyes,SDP,51.60%,38.50%
Ryne Stanek,- - -,45.60%,45.70%
Hector Santiago,- - -,46.00%,39.60%
Hunter Strickland,- - -,47.40%,27.60%
Nick Anderson,- - -,41.70%,41.00%
Robert Stephenson,CIN,46.10%,36.50%
Elieser Hernandez,MIA,49.10%,39.90%
Adam Plutko,CLE,45.60%,36.20%
Chris Flexen,NYM,46.80%,42.60%
Ryan Brasier,BOS,46.80%,39.10%
Raisel Iglesias,CIN,43.90%,38.90%
David Hernandez,CIN,41.30%,45.20%
Michael Shawaryn,BOS,50.00%,42.90%
Jake Newberry,KCR,50.50%,34.10%
Pat Venditte,SFG,54.50%,41.70%
Reymin Guduan,HOU,52.90%,52.90%
Sam Selman,SFG,50.00%,42.30%
Brandon Dixon,DET,50.00%,33.30%
Keynan Middleton,LAA,45.00%,50.00%
Victor Arano,PHI,42.90%,57.10%
Odrisamer Despaigne,CHW,39.60%,34.00%
Sandy Baez,DET,60.00%,20.00%
Adonis Rosa,NYY,60.00%,60.00%
Jerry Blevins,ATL,44.70%,40.70%
Shawn Armstrong,- - -,45.10%,37.10%
Shawn Kelley,TEX,44.90%,44.30%
Tyler Lyons,- - -,46.70%,45.20%
Burch Smith,- - -,47.80%,40.80%
Miguel Del Pozo,LAA,45.80%,34.60%
Brad Wieck,- - -,49.40%,48.20%
Liam Hendriks,OAK,49.50%,37.30%
Brad Hand,CLE,42.20%,39.70%
Ryan Dull,- - -,41.30%,50.00%
Tyler Bashlor,NYM,53.80%,37.90%
Edgar Garcia,PHI,51.00%,47.50%
Juan Minaya,CHW,47.10%,36.50%
Sam Tuivailala,SEA,53.70%,25.90%
John Means,BAL,50.00%,27.80%
Tyler Thornburg,BOS,49.10%,52.80%
A.J. Cole,CLE,50.00%,35.00%
David Bednar,SDP,48.10%,37.90%
Hector Noesi,MIA,49.40%,42.40%
Joe Jimenez,DET,48.60%,36.50%
Yusmeiro Petit,OAK,49.30%,34.80%
Craig Kimbrel,CHC,50.00%,50.00%
Tim Peterson,NYM,41.70%,33.30%
Alex Reyes,STL,50.00%,40.00%
Luis Ortiz,BAL,50.00%,60.00%
Ty France,SDP,62.50%,50.00%
David McKay,- - -,47.60%,38.10%
Adalberto Mejia,- - -,45.20%,47.90%
Asher Wojciechowski,BAL,51.20%,35.70%
Cody Anderson,CLE,44.40%,42.90%
Conner Menez,SFG,51.40%,38.50%
Josh D. Smith,- - -,58.30%,30.60%
Ervin Santana,CHW,56.60%,32.10%
Tyler Clippard,CLE,55.90%,31.00%
Jacob Rhame,NYM,60.00%,37.50%
Carl Edwards Jr.,- - -,44.40%,35.60%
Dan Straily,BAL,50.80%,43.00%
Ryan Buchter,OAK,46.20%,40.70%
John Brebbia,STL,50.50%,38.50%
Bobby Poyner,BOS,53.10%,28.10%
Yimi Garcia,LAD,56.00%,37.90%
Nick Tropeano,LAA,47.90%,54.20%
Jeffrey Springs,TEX,45.50%,33.30%
Daniel Descalso,CHC,40.00%,60.00%
Kendrys Morales,OAK,50.00%,25.00%
Chris Davis,BAL,50.00%,75.00%
Taijuan Walker,ARI,66.70%,66.70%
Sean Gilmartin,BAL,61.50%,53.80%
Jacob Stallings,PIT,66.70%,0.00%
Ray Black,- - -,52.40%,47.60%
Caleb Frare,CHW,57.10%,42.90%
Yohander Mendez,TEX,50.00%,50.00%
Anthony Banda,TBR,50.00%,50.00%
Ben Lively,KCR,40.00%,60.00%
Jaime Schultz,LAD,50.00%,43.80%
Mike Ford,NYY,54.50%,45.50%
A.J. Reed,CHW,66.70%,33.30%
Harrison Musgrave,COL,50.00%,32.10%
Jimmy Herget,CIN,43.50%,43.50%
Phillip Diehl,COL,41.70%,45.80%
Caleb Smith,MIA,52.50%,37.40%
Jason Adam,TOR,51.70%,33.30%
Nick Goody,CLE,53.50%,36.60%
Drew Steckenrider,MIA,65.80%,44.70%
Daniel Zamora,NYM,57.70%,40.70%
Cody Stashak,MIN,55.80%,40.30%
Mike Mayers,STL,46.70%,43.30%
Edubray Ramos,PHI,57.10%,30.00%
Robby Scott,ARI,57.90%,42.90%
Sean Doolittle,WSN,55.70%,37.90%
Enderson Franco,SFG,60.00%,20.00%
Lucas Sims,CIN,56.70%,32.30%
Josh Rogers,BAL,55.60%,50.00%
Ryan Garton,SEA,58.30%,58.30%
Kyle Keller,MIA,56.00%,40.00%
Jimmie Sherfy,ARI,48.10%,38.20%
Stevie Wilkerson,BAL,57.10%,42.90%
Neil Ramirez,- - -,57.50%,35.60%
Darren O'Day,ATL,38.50%,46.20%
Aaron Barrett,WSN,50.00%,27.30%
Tom Murphy,SEA,62.50%,50.00%
Josh Hader,MIL,55.10%,36.20%
Nick Burdi,PIT,50.00%,40.00%
Luke Farrell,TEX,68.80%,27.30%
Gabe Speier,KCR,68.80%,29.40%
Heath Hembree,BOS,60.40%,32.10%
Eduardo Nunez,BOS,75.00%,50.00%
Tim Federowicz,TEX,50.00%,33.30%
Chris Rusin,COL,37.50%,50.00%
Hanser Alberto,BAL,75.00%,50.00%
Nick Rumbelow,SEA,50.00%,66.70%
Chase De Jong,MIN,50.00%,33.30%
Justin Miller,WSN,59.60%,25.00%
Cody Allen,LAA,65.20%,54.50%
Jose Fernandez,DET,66.70%,53.30%
Colin Poche,TBR,62.40%,40.50%
Marco Estrada,OAK,66.30%,39.30%
Paul Sewald,NYM,62.30%,38.90%
Andrew Moore,SEA,64.70%,29.40%
Trevor Kelley,BOS,65.50%,44.80%
Charlie Culberson,ATL,57.10%,71.40%
Tony Barnette,CHC,80.00%,60.00%
Austin Romine,NYY,57.10%,57.10%
Brian Dozier,WSN,80.00%,20.00%
Michael Blazek,WSN,61.90%,42.90%
Chris Owings,KCR,45.50%,72.70%
Humberto Arteaga,KCR,71.40%,57.10%
Joel Payamps,ARI,50.00%,54.50%
John Ryan Murphy,ARI,57.90%,47.40%
Tyler White,HOU,73.30%,46.70%
Arodys Vizcaino,ATL,75.00%,50.00%
Jake Barrett,NYY,61.50%,23.10%
Dellin Betances,NYY,0.00%,
Ben Zobrist,CHC,50.00%,50.00%
Deolis Guerra,MIL,33.30%,33.30%
Jedd Gyorko,STL,0.00%,
Chasen Shreve,STL,50.00%,33.30%
Ryan O'Rourke,NYM,100.00%,0.00%
Nick Martini,OAK,50.00%,0.00%
Matt Ramsey,LAA,100.00%,0.00%
Jose Castillo,SDP,0.00%,
Jorge Alcala,MIN,60.00%,0.00%
Andrew Vasquez,MIN,0.00%,
